variable,relative_importance,scaled_importance,percentage,
134,d1_diasbp_noninvasive_max,157.55,0,0
135,d1_temp_min,150.9,0,0
136,d1_resprate_min,140.58,0,0
137,d1_diasbp_max,140.5,0,0
138,map_apache,138.83,0,0
139,icu_admit_source,138.53,0,0
140,d1_mbp_max,133.96,0,0
141,h1_resprate_min,124.78,0,0
142,d1_spo2_min,115.55,0,0
143,h1_spo2_min,107.44,0,0
144,apache_2_diagnosis,101.75,0,0
145,d1_pao2fio2ratio_max,83.17,0,0
146,gcs_eyes_apache,76.93,0,0
147,d1_arterial_po2_min,73.65,0,0
148,d1_pao2fio2ratio_min,72.1,0,0
149,h1_spo2_max,71.13,0,0
150,gcs_motor_apache,64.88,0,0
151,gcs_verbal_apache,58.7,0,0
152,h1_albumin_max,58.28,0,0
153,d1_spo2_max,57.72,0,0
154,h1_albumin_min,52.76,0,0
155,h1_bilirubin_min,47.91,0,0
156,h1_bilirubin_max,47,0,0
157,pao2_apache,43.56,0,0
158,h1_pao2fio2ratio_max,40.04,0,0
159,pre_icu_los_days,39.92,0,0
160,h1_wbc_max,38.22,0,0
161,icu_stay_type,36.76,0,0
162,h1_arterial_po2_min,36.62,0,0
163,h1_arterial_po2_max,30.88,0,0
164,ventilated_apache,30.3,0,0
165,gender,28.38,0,0
166,h1_wbc_min,26.95,0,0
167,apache_post_operative,20.12,0,0
168,immunosuppression,16.79,0,0
169,h1_pao2fio2ratio_min,16.54,0,0
170,hepatic_failure,15.21,0,0
171,cirrhosis,14.76,0,0
172,elective_surgery,13.49,0,0
173,gcs_unable_apache,11.91,0,0
174,solid_tumor_with_metastasis,11.29,0,0
175,leukemia,10.94,0,0
176,intubated_apache,9.92,0,0
177,lymphoma,7.31,0,0
178,aids,1.98,0,0
